question_type,question,prefix,prompt,ground_truth,top_4_tokens,model_answer,image_url
other,What print is this woman's dress?,Answer:,Answer with one word: What print is this woman's dress? What print is this woman's dress? Answer:,dots,"[""Pol"", ""Sol"", ""Flor"", ""Check""]",Pol,http://images.cocodataset.org/train2014/COCO_train2014_000000131315.jpg
other,What is on the handlebars?,Answer:,Answer with one word: What is on the handlebars? What is on the handlebars? Answer:,bird,"[""Hel"", ""Glo"", ""Mir"", ""Bird""]",Hel,http://images.cocodataset.org/train2014/COCO_train2014_000000262389.jpg
other,What bird is on the man's bike?,Answer:,Answer with one word: What bird is on the man's bike? What bird is on the man's bike? Answer:,parrot,"[""Par"", ""Crow"", ""Bird"", ""Pel""]",Par,http://images.cocodataset.org/train2014/COCO_train2014_000000262389.jpg
other,What is the fence made of?,Answer:,Answer with one word: What is the fence made of? What is the fence made of? Answer:,metal,"[""Metal"", ""Wood"", ""Ste"", ""Iron""]",Metal,http://images.cocodataset.org/train2014/COCO_train2014_000000262393.jpg
other,What is the name of the street that starts with a color?,Answer:,Answer with one word: What is the name of the street that starts with a color? What is the name of the street that starts with a color? Answer:,greenwich,"[""Green"", ""What"", ""Street"", ""Yes""]",Green,http://images.cocodataset.org/train2014/COCO_train2014_000000000250.jpg
other,How can you tell the giraffe is in captivity?,Answer:,Answer with one word: How can you tell the giraffe is in captivity? How can you tell the giraffe is in captivity? Answer:,fence,"[""Yes"", ""Because"", ""There"", ""Its""]",Yes,http://images.cocodataset.org/train2014/COCO_train2014_000000131323.jpg
other,What is the name of the store behind the lady?,Answer:,Answer with one word: What is the name of the store behind the lady? What is the name of the store behind the lady? Answer:,pike place fish,"[""Fish"", ""Happy"", ""What"", ""Place""]",Fish,http://images.cocodataset.org/train2014/COCO_train2014_000000262399.jpg
other,What does the lady have in her mouth?,Answer:,Answer with one word: What does the lady have in her mouth? What does the lady have in her mouth? Answer:,fish,"[""Hot"", ""Don"", ""Food"", ""What""]",Hot,http://images.cocodataset.org/train2014/COCO_train2014_000000262399.jpg
other,What are the popsicle sticks used for?,Answer:,Answer with one word: What are the popsicle sticks used for? What are the popsicle sticks used for? Answer:,labels,"[""Ident"", ""Mark"", ""They"", ""Plant""]",Ident,http://images.cocodataset.org/train2014/COCO_train2014_000000131330.jpg
other,What is the structure in the background?,Answer:,Answer with one word: What is the structure in the background? What is the structure in the background? Answer:,teepee,"[""Indian"", ""Can"", ""What"", ""Native""]",Indian,http://images.cocodataset.org/train2014/COCO_train2014_000000524547.jpg
other,What are these people doing?,Answer:,Answer with one word: What are these people doing? What are these people doing? Answer:,snowboarding,"[""Snow"", ""Ski"", ""They"", ""Watch""]",Snow,http://images.cocodataset.org/train2014/COCO_train2014_000000524551.jpg
other,What is the white structure behind the ramp?,Answer:,Answer with one word: What is the white structure behind the ramp? What is the white structure behind the ramp? Answer:,teepee,"[""Indian"", ""What"", ""White"", ""Snow""]",Indian,http://images.cocodataset.org/train2014/COCO_train2014_000000524551.jpg
other,What is on the ground?,Answer:,Answer with one word: What is on the ground? What is on the ground? Answer:,snow,"[""Snow"", ""Tree"", ""Ice"", ""Mountain""]",Snow,http://images.cocodataset.org/train2014/COCO_train2014_000000393480.jpg
other,What is the man wearing?,Answer:,Answer with one word: What is the man wearing? What is the man wearing? Answer:,shorts,"[""Short"", ""Watch"", ""Nothing"", ""Board""]",Short,http://images.cocodataset.org/train2014/COCO_train2014_000000131339.jpg
other,What sport are they playing?,Answer:,Answer with one word: What sport are they playing? What sport are they playing? Answer:,soccer,"[""Soccer"", ""Football"", ""What"", ""Vol""]",Soccer,http://images.cocodataset.org/train2014/COCO_train2014_000000524557.jpg
other,Color is the goaltenders shirt?,Answer:,Answer with one word: Color is the goaltenders shirt? Color is the goaltenders shirt? Answer:,white,"[""Black"", ""White"", ""Red"", ""Green""]",Black,http://images.cocodataset.org/train2014/COCO_train2014_000000524557.jpg
other,Are they coworkers or best friends?,Answer:,Answer with one word: Are they coworkers or best friends? Are they coworkers or best friends? Answer:,best friends,"[""Best"", ""Cow"", ""Fri"", ""Yes""]",Best,http://images.cocodataset.org/train2014/COCO_train2014_000000131342.jpg
other,What is in the glass in the lower right?,Answer:,Answer with one word: What is in the glass in the lower right? What is in the glass in the lower right? Answer:,wine,"[""Red"", ""Champ"", ""Mart"", ""Water""]",Red,http://images.cocodataset.org/train2014/COCO_train2014_000000131342.jpg
other,The wall is made out of?,Answer:,Answer with one word: The wall is made out of? The wall is made out of? Answer:,brick,"[""Stone"", ""Red"", ""Con"", ""Wood""]",Stone,http://images.cocodataset.org/train2014/COCO_train2014_000000131342.jpg
other,What does the sign in the background say?,Answer:,Answer with one word: What does the sign in the background say? What does the sign in the background say? Answer:,no parking,"[""What"", ""School"", ""Stop"", ""Bus""]",What,http://images.cocodataset.org/train2014/COCO_train2014_000000262415.jpg
other,What is behind the mirror?,Answer:,Answer with one word: What is behind the mirror? What is behind the mirror? Answer:,bus,"[""Bus"", ""School"", ""Car"", ""Building""]",Bus,http://images.cocodataset.org/train2014/COCO_train2014_000000262415.jpg
other,How healthy does this meal look?,Answer:,Answer with one word: How healthy does this meal look? How healthy does this meal look? Answer:,very,"[""Very"", ""Health"", ""Ext"", ""Not""]",Very,http://images.cocodataset.org/train2014/COCO_train2014_000000393488.jpg
other,What meat is used in the main dish?,Answer:,Answer with one word: What meat is used in the main dish? What meat is used in the main dish? Answer:,beef,"[""Ste"", ""Rib"", ""Sir"", ""Turkey""]",Ste,http://images.cocodataset.org/train2014/COCO_train2014_000000393488.jpg
other,What is the man reaching for?,Answer:,Answer with one word: What is the man reaching for? What is the man reaching for? Answer:,phone,"[""Phone"", ""Cell"", ""What"", ""Sign""]",Phone,http://images.cocodataset.org/train2014/COCO_train2014_000000393489.jpg
other,What language is the text on the sign?,Answer:,Answer with one word: What language is the text on the sign? What language is the text on the sign? Answer:,english,"[""English"", ""Chinese"", ""German"", ""Spanish""]",English,http://images.cocodataset.org/train2014/COCO_train2014_000000393489.jpg
other,What is the man holding?,Answer:,Answer with one word: What is the man holding? What is the man holding? Answer:,phone,"[""Phone"", ""Cell"", ""What"", ""Screen""]",Phone,http://images.cocodataset.org/train2014/COCO_train2014_000000393489.jpg
other,What does this phone case look like?,Answer:,Answer with one word: What does this phone case look like? What does this phone case look like? Answer:,silver,"[""What"", ""Phone"", ""Silver"", ""Like""]",What,http://images.cocodataset.org/train2014/COCO_train2014_000000393489.jpg
other,What is the brand of the phone?,Answer:,Answer with one word: What is the brand of the phone? What is the brand of the phone? Answer:,pharos,"[""Phone"", ""What"", ""Phili"", ""what""]",Phone,http://images.cocodataset.org/train2014/COCO_train2014_000000393489.jpg
other,What does this controller go with?,Answer:,Answer with one word: What does this controller go with? What does this controller go with? Answer:,phone,"[""Phone"", ""Cell"", ""Game"", ""Computer""]",Phone,http://images.cocodataset.org/train2014/COCO_train2014_000000393489.jpg
other,What brand is the phone?,Answer:,Answer with one word: What brand is the phone? What brand is the phone? Answer:,pharos,"[""Phone"", ""What"", ""Motor"", ""Phili""]",Phone,http://images.cocodataset.org/train2014/COCO_train2014_000000393489.jpg
other,What is the person holding in their hand?,Answer:,Answer with one word: What is the person holding in their hand? What is the person holding in their hand? Answer:,cell phone,"[""Phone"", ""Cell"", ""What"", ""They""]",Phone,http://images.cocodataset.org/train2014/COCO_train2014_000000393489.jpg
other,What is the person holding?,Answer:,Answer with one word: What is the person holding? What is the person holding? Answer:,phone,"[""Phone"", ""Cell"", ""What"", ""Screen""]",Phone,http://images.cocodataset.org/train2014/COCO_train2014_000000393489.jpg
other,What's on the other side of the shower curtain?,Answer:,Answer with one word: What's on the other side of the shower curtain? What's on the other side of the shower curtain? Answer:,shower,"[""Bat"", ""Bath"", ""Window"", ""Tow""]",Bat,http://images.cocodataset.org/train2014/COCO_train2014_000000546179.jpg
other,What is the green stuff?,Answer:,Answer with one word: What is the green stuff? What is the green stuff? Answer:,broccoli,"[""Bro"", ""Veg"", ""What"", ""bro""]",Bro,http://images.cocodataset.org/train2014/COCO_train2014_000000000009.jpg
other,What is the floor made of?,Answer:,Answer with one word: What is the floor made of? What is the floor made of? Answer:,tile,"[""Con"", ""Wood"", ""Lin"", ""Stone""]",Con,http://images.cocodataset.org/train2014/COCO_train2014_000000131351.jpg
other,What is the ratio of white tiles to blue?,Answer:,Answer with one word: What is the ratio of white tiles to blue? What is the ratio of white tiles to blue? Answer:,many more white,"[""White"", ""Blue"", ""What"", ""There""]",White,http://images.cocodataset.org/train2014/COCO_train2014_000000131351.jpg
other,What power tool is present?,Answer:,Answer with one word: What power tool is present? What power tool is present? Answer:,drill,"[""Ham"", ""Electric"", ""What"", ""Power""]",Ham,http://images.cocodataset.org/train2014/COCO_train2014_000000131351.jpg
other,What fruit is present?,Answer:,Answer with one word: What fruit is present? What fruit is present? Answer:,watermelon,"[""Wat"", ""Orange"", ""Apple"", ""Ban""]",Wat,http://images.cocodataset.org/train2014/COCO_train2014_000000131352.jpg
other,What do you think the cat is looking at?,Answer:,Answer with one word: What do you think the cat is looking at? What do you think the cat is looking at? Answer:,bird,"[""Tree"", ""Bird"", ""Camera"", ""Log""]",Tree,http://images.cocodataset.org/train2014/COCO_train2014_000000524572.jpg
other,What utensil is sitting next to the food?,Answer:,Answer with one word: What utensil is sitting next to the food? What utensil is sitting next to the food? Answer:,fork,"[""Spo"", ""What"", ""fork"", ""F""]",Spo,http://images.cocodataset.org/train2014/COCO_train2014_000000112497.jpg
other,What is in the jug?,Answer:,Answer with one word: What is in the jug? What is in the jug? Answer:,beer,"[""Ale"", ""Mil"", ""Water"", ""Be""]",Ale,http://images.cocodataset.org/train2014/COCO_train2014_000000112497.jpg
other,What is the name of this crusted food?,Answer:,Answer with one word: What is the name of this crusted food? What is the name of this crusted food? Answer:,pizza,"[""Pie"", ""Che"", ""What"", ""Cal""]",Pie,http://images.cocodataset.org/train2014/COCO_train2014_000000112497.jpg
other,What animal is on the flatbed?,Answer:,Answer with one word: What animal is on the flatbed? What animal is on the flatbed? Answer:,cow,"[""Cow"", ""Hor"", ""Cal"", ""cow""]",Cow,http://images.cocodataset.org/train2014/COCO_train2014_000000393503.jpg
other,What room of the house is this?,Answer:,Answer with one word: What room of the house is this? What room of the house is this? Answer:,kitchen,"[""kitchen"", ""Living"", ""What"", ""Cook""]",kitchen,http://images.cocodataset.org/train2014/COCO_train2014_000000393508.jpg
other,What is the floor made out of?,Answer:,Answer with one word: What is the floor made out of? What is the floor made out of? Answer:,wood,"[""Wood"", ""Hard"", ""Lin"", ""Oak""]",Wood,http://images.cocodataset.org/train2014/COCO_train2014_000000393508.jpg
other,What do you use the stove for?,Answer:,Answer with one word: What do you use the stove for? What do you use the stove for? Answer:,cooking,"[""Cook"", ""What"", ""Food"", ""Sto""]",Cook,http://images.cocodataset.org/train2014/COCO_train2014_000000393508.jpg
other,What is the batter wearing on his ankles?,Answer:,Answer with one word: What is the batter wearing on his ankles? What is the batter wearing on his ankles? Answer:,guards,"[""Bra"", ""Cle"", ""Shin"", ""Sho""]",Bra,http://images.cocodataset.org/train2014/COCO_train2014_000000414639.jpg
other,What is the crouching man in the mask called?,Answer:,Answer with one word: What is the crouching man in the mask called? What is the crouching man in the mask called? Answer:,catcher,"[""Ref"", ""What"", ""Baseball"", ""U""]",Ref,http://images.cocodataset.org/train2014/COCO_train2014_000000414639.jpg
other,What are the two women carrying?,Answer:,Answer with one word: What are the two women carrying? What are the two women carrying? Answer:,rackets,"[""Tennis"", ""What"", ""They"", ""Nothing""]",Tennis,http://images.cocodataset.org/train2014/COCO_train2014_000000131366.jpg
other,What are these people holding?,Answer:,Answer with one word: What are these people holding? What are these people holding? Answer:,tennis rackets,"[""Tennis"", ""What"", ""They"", ""These""]",Tennis,http://images.cocodataset.org/train2014/COCO_train2014_000000131366.jpg
other,What is the woman wearing on her neck?,Answer:,Answer with one word: What is the woman wearing on her neck? What is the woman wearing on her neck? Answer:,collar,"[""Col"", ""Tennis"", ""Jack"", ""Nothing""]",Col,http://images.cocodataset.org/train2014/COCO_train2014_000000131366.jpg
other,What sports are they playing?,Answer:,Answer with one word: What sports are they playing? What sports are they playing? Answer:,tennis,"[""Tennis"", ""Bad"", ""What"", ""None""]",Tennis,http://images.cocodataset.org/train2014/COCO_train2014_000000131366.jpg
other,What is the approximate time period of this photo?,Answer:,Answer with one word: What is the approximate time period of this photo? What is the approximate time period of this photo? Answer:,1950s,"[""Mid"", ""Early"", ""Late"", ""Post""]",Mid,http://images.cocodataset.org/train2014/COCO_train2014_000000131366.jpg
other,What are the ladies doing?,Answer:,Answer with one word: What are the ladies doing? What are the ladies doing? Answer:,playing tennis,"[""Pos"", ""Hold"", ""Stand"", ""Play""]",Pos,http://images.cocodataset.org/train2014/COCO_train2014_000000131366.jpg
other,"What three letter word, best describes the liquid container on the ground between the two people?",Answer:,"Answer with one word: What three letter word, best describes the liquid container on the ground between the two people? What three letter word, best describes the liquid container on the ground between the two people? Answer:",jug,"[""Cup"", ""Jug"", ""Can"", ""Container""]",Cup,http://images.cocodataset.org/train2014/COCO_train2014_000000131366.jpg
other,What does the wall say on the far left?,Answer:,Answer with one word: What does the wall say on the far left? What does the wall say on the far left? Answer:,nothing,"[""Nothing"", ""What"", ""Wall"", ""Tennis""]",Nothing,http://images.cocodataset.org/train2014/COCO_train2014_000000131366.jpg
other,What is the woman wearing?,Answer:,Answer with one word: What is the woman wearing? What is the woman wearing? Answer:,skirt,"[""Sho"", ""Jack"", ""Short"", ""Out""]",Sho,http://images.cocodataset.org/train2014/COCO_train2014_000000131366.jpg
other,What type of photo is this?,Answer:,Answer with one word: What type of photo is this? What type of photo is this? Answer:,black and white,"[""Black"", ""Color"", ""Old"", ""What""]",Black,http://images.cocodataset.org/train2014/COCO_train2014_000000131366.jpg
other,What sport is this?,Answer:,Answer with one word: What sport is this? What sport is this? Answer:,tennis,"[""Tennis"", ""Bad"", ""What"", ""Vol""]",Tennis,http://images.cocodataset.org/train2014/COCO_train2014_000000131366.jpg
other,What are the people holding?,Answer:,Answer with one word: What are the people holding? What are the people holding? Answer:,tennis rackets,"[""Tennis"", ""What"", ""They"", ""Bad""]",Tennis,http://images.cocodataset.org/train2014/COCO_train2014_000000131366.jpg
other,What is the group of people holding in their hand?,Answer:,Answer with one word: What is the group of people holding in their hand? What is the group of people holding in their hand? Answer:,tennis rackets,"[""Tennis"", ""What"", ""They"", ""Bat""]",Tennis,http://images.cocodataset.org/train2014/COCO_train2014_000000131366.jpg
other,Is the game live or on television?,Answer:,Answer with one word: Is the game live or on television? Is the game live or on television? Answer:,live,"[""Live"", ""Television"", ""Yes"", ""Tele""]",Live,http://images.cocodataset.org/train2014/COCO_train2014_000000131366.jpg
other,How would you call for more information about the bus?,Answer:,Answer with one word: How would you call for more information about the bus? How would you call for more information about the bus? Answer:,877-pwp-green,"[""Call"", ""Bus"", ""Phone"", ""Google""]",Call,http://images.cocodataset.org/train2014/COCO_train2014_000000262442.jpg
other,What pattern does the woman have on?,Answer:,Answer with one word: What pattern does the woman have on? What pattern does the woman have on? Answer:,polka dot,"[""Pol"", ""Sol"", ""Check"", ""Her""]",Pol,http://images.cocodataset.org/train2014/COCO_train2014_000000021895.jpg
other,What is running across the beach?,Answer:,Answer with one word: What is running across the beach? What is running across the beach? Answer:,horse,"[""Sur"", ""Water"", ""Sand"", ""Hor""]",Sur,http://images.cocodataset.org/train2014/COCO_train2014_000000131373.jpg
other,What is causing the smoke?,Answer:,Answer with one word: What is causing the smoke? What is causing the smoke? Answer:,grill,"[""Fire"", ""What"", ""Bar"", ""Wood""]",Fire,http://images.cocodataset.org/train2014/COCO_train2014_000000131374.jpg
other,What ethnicity is the man?,Answer:,Answer with one word: What ethnicity is the man? What ethnicity is the man? Answer:,african american,"[""Black"", ""African"", ""White"", ""What""]",Black,http://images.cocodataset.org/train2014/COCO_train2014_000000109277.jpg
other,Is the man wearing shorts or pants?,Answer:,Answer with one word: Is the man wearing shorts or pants? Is the man wearing shorts or pants? Answer:,shorts,"[""Short"", ""Yes"", ""short"", ""P""]",Short,http://images.cocodataset.org/train2014/COCO_train2014_000000131376.jpg
color recognition,What color is the players shirt?,Answer:,Answer with one word: What color is the players shirt? What color is the players shirt? Answer:,orange,"[""Orange"", ""White"", ""Black"", ""Red""]",Orange,http://images.cocodataset.org/train2014/COCO_train2014_000000458752.jpg
color recognition,What color is the snow?,Answer:,Answer with one word: What color is the snow? What color is the snow? Answer:,white,"[""White"", ""Gray"", ""Blue"", ""Black""]",White,http://images.cocodataset.org/train2014/COCO_train2014_000000262146.jpg
color recognition,What color is the persons headwear?,Answer:,Answer with one word: What color is the persons headwear? What color is the persons headwear? Answer:,red,"[""Red"", ""White"", ""Black"", ""Orange""]",Red,http://images.cocodataset.org/train2014/COCO_train2014_000000262146.jpg
color recognition,What color is the toothbrush?,Answer:,Answer with one word: What color is the toothbrush? What color is the toothbrush? Answer:,white and purple,"[""White"", ""Pur"", ""Blue"", ""Silver""]",White,http://images.cocodataset.org/train2014/COCO_train2014_000000393223.jpg
color recognition,What colors are shown in this picture?,Answer:,Answer with one word: What colors are shown in this picture? What colors are shown in this picture? Answer:,black and white,"[""Black"", ""White"", ""What"", ""Gray""]",Black,http://images.cocodataset.org/train2014/COCO_train2014_000000524297.jpg
color recognition,What color is his hat?,Answer:,Answer with one word: What color is his hat? What color is his hat? Answer:,blue,"[""Blue"", ""White"", ""Black"", ""Light""]",Blue,http://images.cocodataset.org/train2014/COCO_train2014_000000393227.jpg
color recognition,What color is the jacket?,Answer:,Answer with one word: What color is the jacket? What color is the jacket? Answer:,green,"[""Green"", ""Black"", ""White"", ""Blue""]",Green,http://images.cocodataset.org/train2014/COCO_train2014_000000131084.jpg
color recognition,What color is the sky?,Answer:,Answer with one word: What color is the sky? What color is the sky? Answer:,gray,"[""Gray"", ""White"", ""Dark"", ""Blue""]",Gray,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg
color recognition,What color is his coat?,Answer:,Answer with one word: What color is his coat? What color is his coat? Answer:,blue,"[""Blue"", ""White"", ""Black"", ""Light""]",Blue,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg
color recognition,What color is the bear?,Answer:,Answer with one word: What color is the bear? What color is the bear? Answer:,black,"[""Black"", ""Brown"", ""What"", ""Dark""]",Black,http://images.cocodataset.org/train2014/COCO_train2014_000000137045.jpg
color recognition,What color are the leaves?,Answer:,Answer with one word: What color are the leaves? What color are the leaves? Answer:,green,"[""Green"", ""Brown"", ""Dark"", ""White""]",Green,http://images.cocodataset.org/train2014/COCO_train2014_000000262171.jpg
color recognition,What color is the umbrella?,Answer:,Answer with one word: What color is the umbrella? What color is the umbrella? Answer:,pink,"[""White"", ""What"", ""Blue"", ""Red""]",White,http://images.cocodataset.org/train2014/COCO_train2014_000000131101.jpg
color recognition,What color is the vase?,Answer:,Answer with one word: What color is the vase? What color is the vase? Answer:,white,"[""White"", ""What"", ""Clear"", ""Gray""]",White,http://images.cocodataset.org/train2014/COCO_train2014_000000000030.jpg
color recognition,What color is the napkin?,Answer:,Answer with one word: What color is the napkin? What color is the napkin? Answer:,white,"[""White"", ""Brown"", ""Gray"", ""What""]",White,http://images.cocodataset.org/train2014/COCO_train2014_000000043697.jpg
color recognition,What color is the refrigerator?,Answer:,Answer with one word: What color is the refrigerator? What color is the refrigerator? Answer:,silver,"[""Silver"", ""Gray"", ""White"", ""Black""]",Silver,http://images.cocodataset.org/train2014/COCO_train2014_000000131113.jpg
color recognition,What color is the plane?,Answer:,Answer with one word: What color is the plane? What color is the plane? Answer:,red,"[""Red"", ""Orange"", ""White"", ""What""]",Red,http://images.cocodataset.org/train2014/COCO_train2014_000000262187.jpg
color recognition,What color horse is closer to the camera?,Answer:,Answer with one word: What color horse is closer to the camera? What color horse is closer to the camera? Answer:,black,"[""Black"", ""White"", ""Brown"", ""Dark""]",Black,http://images.cocodataset.org/train2014/COCO_train2014_000000000049.jpg
color recognition,What color is the girl's shirt?,Answer:,Answer with one word: What color is the girl's shirt? What color is the girl's shirt? Answer:,blue,"[""Blue"", ""Green"", ""White"", ""Gray""]",Blue,http://images.cocodataset.org/train2014/COCO_train2014_000000393268.jpg
color recognition,What color are the flowers?,Answer:,Answer with one word: What color are the flowers? What color are the flowers? Answer:,yellow and white,"[""White"", ""Blue"", ""What"", ""Green""]",White,http://images.cocodataset.org/train2014/COCO_train2014_000000131128.jpg
color recognition,What colors are the flowers?,Answer:,Answer with one word: What colors are the flowers? What colors are the flowers? Answer:,yellow and white,"[""White"", ""Blue"", ""What"", ""Green""]",White,http://images.cocodataset.org/train2014/COCO_train2014_000000131128.jpg
color recognition,What color is the animal?,Answer:,Answer with one word: What color is the animal? What color is the animal? Answer:,gray,"[""Gray"", ""Brown"", ""White"", ""Black""]",Gray,http://images.cocodataset.org/train2014/COCO_train2014_000000262204.jpg
color recognition,What color is the plane?,Answer:,Answer with one word: What color is the plane? What color is the plane? Answer:,red and white,"[""Red"", ""White"", ""What"", ""Black""]",Red,http://images.cocodataset.org/train2014/COCO_train2014_000000131133.jpg
color recognition,What color are the seats?,Answer:,Answer with one word: What color are the seats? What color are the seats? Answer:,tan,"[""Brown"", ""Black"", ""Gray"", ""Tan""]",Brown,http://images.cocodataset.org/train2014/COCO_train2014_000000262207.jpg
color recognition,What color is the middle vase?,Answer:,Answer with one word: What color is the middle vase? What color is the middle vase? Answer:,blue,"[""Blue"", ""Clear"", ""Pur"", ""Green""]",Blue,http://images.cocodataset.org/train2014/COCO_train2014_000000458763.jpg
color recognition,What color is the window frame?,Answer:,Answer with one word: What color is the window frame? What color is the window frame? Answer:,white,"[""White"", ""Brown"", ""Black"", ""Silver""]",White,http://images.cocodataset.org/train2014/COCO_train2014_000000393291.jpg
color recognition,What color is the sign?,Answer:,Answer with one word: What color is the sign? What color is the sign? Answer:,white,"[""Brown"", ""White"", ""Green"", ""Red""]",Brown,http://images.cocodataset.org/train2014/COCO_train2014_000000131160.jpg
color recognition,What color is the tray?,Answer:,Answer with one word: What color is the tray? What color is the tray? Answer:,white,"[""White"", ""Black"", ""Clear"", ""Gray""]",White,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
color recognition,What color is the bathroom?,Answer:,Answer with one word: What color is the bathroom? What color is the bathroom? Answer:,yellow,"[""Green"", ""White"", ""Blue"", ""Brown""]",Green,http://images.cocodataset.org/train2014/COCO_train2014_000000262159.jpg
color recognition,What color is the wall?,Answer:,Answer with one word: What color is the wall? What color is the wall? Answer:,yellow,"[""Green"", ""White"", ""Blue"", ""Orange""]",Green,http://images.cocodataset.org/train2014/COCO_train2014_000000262159.jpg
color recognition,What color are the bathroom walls?,Answer:,Answer with one word: What color are the bathroom walls? What color are the bathroom walls? Answer:,yellow,"[""Green"", ""White"", ""Blue"", ""Orange""]",Green,http://images.cocodataset.org/train2014/COCO_train2014_000000262159.jpg
color recognition,What color is the sofa?,Answer:,Answer with one word: What color is the sofa? What color is the sofa? Answer:,gray,"[""Brown"", ""Gray"", ""Tan"", ""White""]",Brown,http://images.cocodataset.org/train2014/COCO_train2014_000000524386.jpg
color recognition,What color is the man's shirt in the front of the photo?,Answer:,Answer with one word: What color is the man's shirt in the front of the photo? What color is the man's shirt in the front of the photo? Answer:,black,"[""Black"", ""Blue"", ""White"", ""Dark""]",Black,http://images.cocodataset.org/train2014/COCO_train2014_000000131172.jpg
color recognition,What color is the traffic signal?,Answer:,Answer with one word: What color is the traffic signal? What color is the traffic signal? Answer:,green,"[""Green"", ""Red"", ""Black"", ""White""]",Green,http://images.cocodataset.org/train2014/COCO_train2014_000000393317.jpg
color recognition,What color is the woman's sweater?,Answer:,Answer with one word: What color is the woman's sweater? What color is the woman's sweater? Answer:,gray,"[""Gray"", ""Brown"", ""Blue"", ""Tan""]",Gray,http://images.cocodataset.org/train2014/COCO_train2014_000000000110.jpg
color recognition,What color are the chairs?,Answer:,Answer with one word: What color are the chairs? What color are the chairs? Answer:,blue,"[""Blue"", ""Black"", ""White"", ""Brown""]",Blue,http://images.cocodataset.org/train2014/COCO_train2014_000000000113.jpg
color recognition,What color is the building?,Answer:,Answer with one word: What color is the building? What color is the building? Answer:,red,"[""Red"", ""Brown"", ""White"", ""Orange""]",Red,http://images.cocodataset.org/train2014/COCO_train2014_000000131190.jpg
color recognition,What color are the flowers?,Answer:,Answer with one word: What color are the flowers? What color are the flowers? Answer:,red,"[""White"", ""Red"", ""Pur"", ""Green""]",White,http://images.cocodataset.org/train2014/COCO_train2014_000000131190.jpg
color recognition,What color is the clock tower in this photo?,Answer:,Answer with one word: What color is the clock tower in this photo? What color is the clock tower in this photo? Answer:,white,"[""White"", ""Brown"", ""Red"", ""Black""]",White,http://images.cocodataset.org/train2014/COCO_train2014_000000131190.jpg
color recognition,What color plate is this?,Answer:,Answer with one word: What color plate is this? What color plate is this? Answer:,white,"[""White"", ""Brown"", ""Black"", ""What""]",White,http://images.cocodataset.org/train2014/COCO_train2014_000000000127.jpg
color recognition,What color are the skis?,Answer:,Answer with one word: What color are the skis? What color are the skis? Answer:,yellow,"[""Black"", ""White"", ""Blue"", ""Gray""]",Black,http://images.cocodataset.org/train2014/COCO_train2014_000000262273.jpg
color recognition,What color is the man's hat?,Answer:,Answer with one word: What color is the man's hat? What color is the man's hat? Answer:,black,"[""Black"", ""Gray"", ""Dark"", ""Blue""]",Black,http://images.cocodataset.org/train2014/COCO_train2014_000000262273.jpg
color recognition,What color is the woman's shorts?,Answer:,Answer with one word: What color is the woman's shorts? What color is the woman's shorts? Answer:,black,"[""Black"", ""White"", ""Blue"", ""Brown""]",Black,http://images.cocodataset.org/train2014/COCO_train2014_000000524420.jpg
color recognition,What color is the girl's hair?,Answer:,Answer with one word: What color is the girl's hair? What color is the girl's hair? Answer:,red,"[""Red"", ""Orange"", ""Brown"", ""Black""]",Red,http://images.cocodataset.org/train2014/COCO_train2014_000000131208.jpg
color recognition,What color is the catcher's pants?,Answer:,Answer with one word: What color is the catcher's pants? What color is the catcher's pants? Answer:,gray,"[""White"", ""Black"", ""Gray"", ""Red""]",White,http://images.cocodataset.org/train2014/COCO_train2014_000000284012.jpg
color recognition,What color flowers are on the top right?,Answer:,Answer with one word: What color flowers are on the top right? What color flowers are on the top right? Answer:,purple,"[""Pur"", ""White"", ""Red"", ""Blue""]",Pur,http://images.cocodataset.org/train2014/COCO_train2014_000000262283.jpg
color recognition,What color is the cloth?,Answer:,Answer with one word: What color is the cloth? What color is the cloth? Answer:,gray,"[""White"", ""Gray"", ""Black"", ""Blue""]",White,http://images.cocodataset.org/train2014/COCO_train2014_000000524428.jpg
color recognition,What color is the milk carton?,Answer:,Answer with one word: What color is the milk carton? What color is the milk carton? Answer:,blue,"[""White"", ""Blue"", ""Brown"", ""Pur""]",White,http://images.cocodataset.org/train2014/COCO_train2014_000000000142.jpg
color recognition,What color is the building?,Answer:,Answer with one word: What color is the building? What color is the building? Answer:,red,"[""Red"", ""Brown"", ""White"", ""Gray""]",Red,http://images.cocodataset.org/train2014/COCO_train2014_000000000149.jpg
color recognition,What color is this girl's shirt?,Answer:,Answer with one word: What color is this girl's shirt? What color is this girl's shirt? Answer:,red,"[""Red"", ""Orange"", ""White"", ""Blue""]",Red,http://images.cocodataset.org/train2014/COCO_train2014_000000109986.jpg
color recognition,What color is the girls hot dog?,Answer:,Answer with one word: What color is the girls hot dog? What color is the girls hot dog? Answer:,red,"[""Red"", ""Orange"", ""Brown"", ""White""]",Red,http://images.cocodataset.org/train2014/COCO_train2014_000000109986.jpg
